site,transect,team,spcode,start,stop,dist
BR1,3,HC,OPUCHI,7,8.2,1.2
BR1,3,HC,DASLEI,7.1,8.6,1.5
BR1,3,HC,BG,8.6,9,0.4
BR1,3,HC,ACACON,9,9.75,0.75
BR1,3,HC,BG,9,10.6,1.6
BR1,3,HC,DASLEI,10.6,11.9,1.3
BR1,3,HC,BG,11.9,12.4,0.5
BR1,3,HC,DASLEI,12.4,13.2,0.8
BR1,3,HC,EPHTOR,13.2,13.7,0.5
BR1,3,HC,BG,13.7,14.3,0.6
BR1,3,HC,RHUMIC,14.3,16.1,1.8
BR1,3,HC,JUNPIN,16.1,19.7,3.6
BR1,3,HC,BG,19.7,20.3,0.6
BR1,3,HC,JUNPIN,20.3,21.4,1.1
BR1,3,HC,DASLEI,20.4,21.9,1.5
BR1,3,HC,BG,21.9,24.3,2.4
BR1,3,HC,DASLEI,24.3,24.6,0.3
BR1,3,HC,BG,24.6,28.1,3.5
BR1,3,HC,JUNPIN,28.1,29.93,1.83
BR1,3,HC,OPUCHI,30.4,31.15,0.75
BR1,3,HC,BG,31.15,31.6,0.45
BR1,3,HC,ACACON,31.6,31.8,0.2
BR1,3,HC,DALFOR,33.75,34.15,0.4
BR1,3,HC,astirr,34.3,34.75,0.45
BR1,3,HC,DALFOR,34.9,35.15,0.25
BR1,3,HC,astirr,35.2,35.55,0.35
BR1,3,HC,ACACON,35.25,36.05,0.8
BR1,3,HC,JUNPIN,36,37.1,1.1
BR1,3,HC,DALFOR,37.1,37.35,0.25
BR1,3,HC,BG,37.35,38.5,1.15
BR1,3,HC,HERB,38.5,41.3,2.8
BR1,3,HC,EPHTOR,41.4,41.9,0.5
BR1,3,HC,ACACON,41.8,42.3,0.5
BR1,3,HC,BG,42.3,42.4,0.1
BR1,3,HC,ACACON,42.4,43.2,0.8
BR1,3,HC,ACAGRE,43.3,44.4,1.1
BR1,3,HC,BG,43.2,44,0.8
BR1,3,HC,JUNPIN,44,44.7,0.7
BR1,3,HC,ACAGRE,44.8,45.1,0.3
BR1,3,HC,BG,45.1,45.4,0.3
BR1,3,HC,ACAGRE,45.4,45.7,0.3
BR1,3,HC,OPUCHI,45.7,47.9,2.2
BR1,3,HC,BG,47.9,49.1,1.2
BR1,3,HC,astirr,49.1,50,0.9
BR1,4,HC,RHUMIC,0,2.5,2.5
BR1,4,HC,BG,2.5,4,1.5
BR1,4,HC,NOLERU,4,5.4,1.4
BR1,4,HC,OPUCHI,5.1,5.4,0.3
BR1,4,HC,BG,5.4,6.5,1.1
BR1,4,HC,fascic,5.5,8.4,2.9
BR1,4,HC,BG,8.4,9.1,0.7
BR1,4,HC,ACACON,9.15,9.9,0.75
BR1,4,HC,OPUCHI,9.4,10.45,1.05
BR1,4,HC,DASLEI,9.8,10.75,0.95
BR1,4,HC,BG,10.75,10.9,0.15
BR1,4,HC,ACACON,10.9,11.4,0.5
BR1,4,HC,ACAGRE,11.55,11.9,0.35
BR1,4,HC,BG,11.9,12.1,0.2
BR1,4,HC,NOLERU,12.1,13.1,1
BR1,4,HC,ACAGRE,13,13.7,0.7
BR1,4,HC,BG,13.7,14,0.3
BR1,4,HC,astirr,14,14.4,0.4
BR1,4,HC,ACAGRE,13.7,14.4,0.7
BR1,4,HC,HERB,14.4,15.7,1.3
BR1,4,HC,ACAGRE,15.7,15.9,0.2
BR1,4,HC,ACACON,16,16.95,0.95
BR1,4,HC,BG,17,17.8,0.8
BR1,4,HC,ACACON,17.8,18.1,0.3
BR1,4,HC,BG,18.1,18.6,0.5
BR1,4,HC,NOLERU,18.6,19.2,0.6
BR1,4,HC,BG,19.3,19.8,0.5
BR1,4,HC,OPUCHI,19.85,20.3,0.45
BR1,4,HC,ACACON,20.4,20.85,0.45
BR1,4,HC,dalgre,21.3,21.7,0.4
BR1,4,HC,BG,21.7,24.3,2.6
BR1,4,HC,ACAGRE,24.2,24.8,0.6
BR1,4,HC,DASLEI,25,26.7,1.7
BR1,4,HC,BG,26.7,27.7,1
BR1,4,HC,JUNPIN,27.7,30.6,2.9
BR1,4,HC,BG,30.6,31.4,0.8
BR1,4,HC,JUNPIN,31.4,32.9,1.5
