"site","team","transect","spcode","start","stop","dieback","notes"
"BR1","KS",2,"FENRUP",22.85,24.85,10,
"BR1","KS",2,"MAHTRI",24,24.4,20,
"BR1","KS",2,"unarmd",24,25.6,0,
"BR1","KS",2,"EPHTOR",26.6,27.6,5,
"BR1","KS",2,"HERB",28.3,29.2,,
"BR1","KS",2,"unarmd",30,31,0,
"BR1","KS",2,"ACACON",30.2,31.1,30,
"BR1","KS",2,"HERB",33.7,35.1,,
"BR1","KS",2,"MIMACU",35.3,35.5,20,
"BR1","KS",2,"unarmd",35.85,36,10,
"BR1","KS",2,"OPUCHI",37.65,38,80,
"BR1","KS",2,"VIQSTE",37.55,39.7,30,
"BR1","KS",2,"DASLEI",40.9,41.2,0,
"BR1","KS",2,"oppwoo",43.25,43.9,0,
"BR1","KS",2,"NOLERU",44.65,46.2,0,
"BR1","KS",2,"JUNPIN",45.6,50,20,
"BR1","KS",2,"MIMACU",47.7,47.9,5,
"BR1","KS",2,"ALOGRA",47.8,48.3,0,
"BR1","KS",2,"unarmd",48.4,48.8,0,
"BR1","KS",2,"DASLEI",48.3,48.7,70,
"BR1","KS",2,"NOLERU",49.7,50,0,
"BR1","KS",2,"MIMACU",49.65,50,60,
"C1","KS",1,"HERB",0,2.5,,
"C1","KS",1,"AGALEC",4.45,4.55,100,
"C1","KS",1,"ACAGRE",4.57,4.9,0,
"C1","KS",1,"AGALEC",4.74,5.3,55,
"C1","KS",1,"AGALEC",8.85,9.35,100,
"C1","KS",1,"ACAGRE",9.1,9.75,5,
"C1","KS",1,"VIQSTE",9.57,9.7,0,
"C1","KS",1,"HERB",10.1,13.2,,
"C1","KS",1,"AGALEC",15.3,16.05,70,
"C1","KS",1,"KRAGRA",15.05,15.15,75,
"C1","KS",1,"unarmd",15.2,15.4,5,
"C1","KS",1,"AGALEC",17.25,17.4,100,
"C1","KS",1,"unarmd",19.8,20,40,
"C1","KS",1,"HERB",19.5,19.9,,
"C1","KS",1,"HERB",21.7,23.2,,
"C1","KS",1,"AGALEC",24.15,25.6,100,
"C1","KS",1,"VIQSTE",24.22,24.5,20,
"C1","KS",1,"ZIZOBT",24.3,24.4,0,
"C1","KS",1,"HERB",25.55,25.72,,
"C1","KS",1,"HERB",27.75,29.05,,
"C1","KS",1,"HERB",31.9,33.9,,
"C1","KS",1,"HERB",34.8,35.6,,
"C1","KS",1,"AGALEC",35.7,36,100,
"C1","KS",1,"AGALEC",36.4,36.7,100,
"C1","KS",1,"AGALEC",38.1,38.9,100,
"C1","KS",1,"AGALEC",41.5,42.2,100,
"C1","KS",1,"VIQSTE",41.6,42.2,0,
"C1","KS",1,"ACAGRE",42.5,44.3,5,
"C1","KS",1,"HERB",45,46.4,,
"C1","KS",2,"HERB",0,1.5,,
"C1","KS",2,"HERB",4,4.8,,
"C1","KS",2,"AGALEC",5.5,6.6,90,
"C1","KS",2,"unarmd",6.05,6.28,10,
"C1","KS",2,"HERB",8.1,8.85,,
"C1","KS",2,"LARTRI",13.9,15.6,5,
"C1","KS",2,"KRAGRA",15.6,15.75,20,
"C1","KS",2,"AGALEC",16.1,16.3,60,
